TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DEFAULT,ORDINAL_POSITION,IS_PRIMARY_KEY,SOURCE
BPACustomBPATabakProd,EmailTemplates,Status,int,,10,0,NO,,4,NO,tabak_mariadb
BPACustomBPATabakProd,EmailTemplates,Content,longtext,4294967295,,,NO,,5,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Id,bigint,,19,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,File_name,longtext,4294967295,,,YES,NULL,2,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,File_url,longtext,4294967295,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Client,longtext,4294967295,,,YES,NULL,4,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Account,longtext,4294967295,,,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Payer,longtext,4294967295,,,YES,NULL,6,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Total_No_Of_Clm_On_File,int,,10,0,YES,NULL,7,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Total_Paid_Amt_On_File,decimal,,65,30,YES,NULL,8,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Total_Denied_Claims,int,,10,0,YES,NULL,9,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Total_Denied_Lines,int,,10,0,YES,NULL,10,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Total_Posted_Claims,int,,10,0,YES,NULL,11,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Download_Date,datetime,,,,YES,NULL,12,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Completed_Date,datetime,,,,YES,NULL,13,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Not_Completed_Reasons,longtext,4294967295,,,YES,NULL,14,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,File_Status,int,,10,0,NO,0,15,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,rawJson,longtext,4294967295,,,YES,NULL,16,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,CreatedById,int,,10,0,YES,NULL,17,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,CreatedByName,varchar,50,,,YES,NULL,18,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,UpdatedById,int,,10,0,YES,NULL,19,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,UpdatedByName,varchar,50,,,YES,NULL,20,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,CreatedDate,datetime,,,,NO,,21,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,UpdatedDate,datetime,,,,YES,NULL,22,NO,tabak_mariadb
BPACustomBPATabakProd,EOBAllocations,Check_Date,datetime,,,,YES,NULL,23,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Id,bigint,,19,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,AllocationId,bigint,,19,0,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Number,longtext,4294967295,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Total_Charge_Amt,decimal,,8,2,YES,NULL,4,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Paid_Amt,decimal,,8,2,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Status_Code,longtext,4294967295,,,YES,NULL,6,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Status_Reason,longtext,4294967295,,,YES,NULL,7,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Facility_Type,longtext,4294967295,,,YES,NULL,8,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Frequency,longtext,4294967295,,,YES,NULL,9,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Date_of_Service_From,datetime,,,,YES,NULL,10,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Date_of_Service_To,datetime,,,,YES,NULL,11,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Recieved_Date,datetime,,,,YES,NULL,12,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Patient_Responsibility_Amt,decimal,,8,2,YES,NULL,13,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,CLIA_Number,longtext,4294967295,,,YES,NULL,14,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Claim_Invoice_Number,longtext,4294967295,,,YES,NULL,15,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Admission_Date,datetime,,,,YES,NULL,16,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Patient_Last_Seen_Date,datetime,,,,YES,NULL,17,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,PayerId,bigint,,19,0,NO,,18,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,PayeeId,bigint,,19,0,NO,,19,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,PatientId,bigint,,19,0,YES,NULL,20,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,CreatedById,int,,10,0,YES,NULL,21,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,CreatedByName,varchar,50,,,YES,NULL,22,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,UpdatedById,int,,10,0,YES,NULL,23,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,UpdatedByName,varchar,50,,,YES,NULL,24,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,CreatedDate,datetime,,,,NO,,25,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,UpdatedDate,datetime,,,,YES,NULL,26,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,EzClaimId,int,,10,0,YES,NULL,27,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaims,Status,int,,10,0,NO,0,28,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Id,bigint,,19,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,ClaimId,bigint,,19,0,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Primary_DX,longtext,4294967295,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX1,longtext,4294967295,,,YES,NULL,4,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX2,longtext,4294967295,,,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX3,longtext,4294967295,,,YES,NULL,6,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX4,longtext,4294967295,,,YES,NULL,7,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX5,longtext,4294967295,,,YES,NULL,8,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX6,longtext,4294967295,,,YES,NULL,9,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX7,longtext,4294967295,,,YES,NULL,10,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX8,longtext,4294967295,,,YES,NULL,11,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX9,longtext,4294967295,,,YES,NULL,12,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX10,longtext,4294967295,,,YES,NULL,13,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX11,longtext,4294967295,,,YES,NULL,14,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,Secondary_DX12,longtext,4294967295,,,YES,NULL,15,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,CreatedById,int,,10,0,YES,NULL,16,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,CreatedByName,varchar,50,,,YES,NULL,17,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,UpdatedById,int,,10,0,YES,NULL,18,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,UpdatedByName,varchar,50,,,YES,NULL,19,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,CreatedDate,datetime,,,,NO,,20,NO,tabak_mariadb
BPACustomBPATabakProd,EOBClaim_Diagnosis,UpdatedDate,datetime,,,,YES,NULL,21,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Id,bigint,,19,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_Name,varchar,100,,,YES,NULL,2,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Rendering_Provider_NPI,varchar,100,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_TaxID,varchar,100,,,YES,NULL,4,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_Addr1,varchar,100,,,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_Addr2,varchar,100,,,YES,NULL,6,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_City,varchar,100,,,YES,NULL,7,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_State,varchar,100,,,YES,NULL,8,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_Zip,varchar,20,,,YES,NULL,9,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Rendering_Provider_Name,varchar,100,,,YES,NULL,10,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Check_EFT_Number,varchar,100,,,YES,NULL,11,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payment_Amt,decimal,,65,30,YES,NULL,12,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Check_Date,datetime,,,,YES,NULL,13,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,CreatedById,int,,10,0,YES,NULL,14,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,CreatedByName,varchar,50,,,YES,NULL,15,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,UpdatedById,int,,10,0,YES,NULL,16,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,UpdatedByName,varchar,50,,,YES,NULL,17,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,CreatedDate,datetime,,,,NO,,18,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,UpdatedDate,datetime,,,,YES,NULL,19,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,Payee_NPI,varchar,50,,,YES,NULL,20,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,EzClaimBillingProviderId,int,,10,0,YES,NULL,21,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,EzClaimRenderingProviderId,int,,10,0,YES,NULL,22,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayees,PaymentMethod,longtext,4294967295,,,YES,NULL,23,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Id,bigint,,19,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Payer_Name,varchar,100,,,YES,NULL,2,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Payer_Id,varchar,20,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Payer_Addr1,varchar,100,,,YES,NULL,4,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Payer_Addr2,varchar,100,,,YES,NULL,5,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Payer_City,varchar,100,,,YES,NULL,6,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Payer_State,varchar,100,,,YES,NULL,7,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,Payer_Zip,varchar,20,,,YES,NULL,8,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,CreatedById,int,,10,0,YES,NULL,9,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,CreatedByName,varchar,50,,,YES,NULL,10,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,UpdatedById,int,,10,0,YES,NULL,11,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,UpdatedByName,varchar,50,,,YES,NULL,12,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,CreatedDate,datetime,,,,NO,,13,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,UpdatedDate,datetime,,,,YES,NULL,14,NO,tabak_mariadb
BPACustomBPATabakProd,EOBPayers,EzClaimPayerId,int,,10,0,YES,NULL,15,NO,tabak_mariadb
BPACustomBPATabakProd,EOBService_Adjustments,Id,bigint,,19,0,NO,,1,YES,tabak_mariadb
BPACustomBPATabakProd,EOBService_Adjustments,ServiceLineItemId,bigint,,19,0,NO,,2,NO,tabak_mariadb
BPACustomBPATabakProd,EOBService_Adjustments,Service_Adjustment_Reason_Code,varchar,20,,,YES,NULL,3,NO,tabak_mariadb
BPACustomBPATabakProd,EOBService_Adjustments,Service_Adjustment_Reason,longtext,4294967295,,,YES,NULL,4,NO,tabak_mariadb
